"Item Key","Item Name","Supplier Key","Supplier Name","Supplier Price","MOQ","Service Level","On Hand Qty","Warehouse Qty"
"8c98f4d9-a21f-47da-9a98-47e62b1fa5eb","0QIF515R6D-292-Auto",,,3,3,13,358,924
"35909f55-9e4e-4e70-8cb3-e571c3ee3f3c","1JL8Y65A27-416-Auto",,,4,6,78,120,708
"98ec3ec3-4c62-4ecc-bcb0-d99e61ff4d8a","2XQG3VR673-54-Auto",,,5,1,53,128,129
"6ccf6bbf-01a4-44fa-af74-a80e50b360f2","36TAY1LHOK-375-Auto",,,5,1,46,678,991
"b4fa75cb-12cf-49c8-9c0e-422e0fcba87b","3EGDZ34QFZ-457-Auto",,,8,6,73,402,211
"19b6a110-c7d4-42d7-9dc9-16a6d3325b21","3JQF865XKQ-96-Auto",,,4,9,98,309,253
"4a14ab97-2f34-4c21-8dc4-bb3b62ae6c5d","3RCWF9BWH7-237-Auto",,,7,6,99,419,335
"e88e76b4-6cdd-4e8c-95c9-25cf4326ad10","3T8LNLX1HP-159-Auto",,,2,9,46,912,396
"7c4b4bc1-4cbc-4e46-9c05-1c9dc821e2ee","3YPFUD0R7E-228-Auto",,,2,8,57,185,356
"f695664e-a315-47f6-8059-2b241fc86518","47JOSPGKRM-82-Auto",,,2,1,90,877,594
"495d32f0-dbd6-428c-8c07-b5a6a1827a39","5AQ4GF2K1R-284-Auto",,,2,7,30,692,980
"db333030-6c90-4148-8fac-8f3a5b5bdcbd","7S9MWTR1CI-336-Auto",,,9,8,9,447,343
"6cba164f-8980-49cf-a0ae-f45383888322","7T6W8K56OD-100-Auto",,,2,3,63,591,806
"8d627946-79c0-4e55-8542-1acbed56328d","87QA0F5CGV-117-Auto",,,8,4,56,199,210
"622d5590-1148-4fc4-a549-f8ee2c17617b","95YYCMND3K-290-Auto",,,4,4,69,756,636
"d6937698-5409-43b0-80eb-8c669acb6e0d","9OVY0ES0DO-235-Auto",,,1,8,59,668,854
"ae1774da-a9e3-4090-baed-feade7809898","9SGQAM7JDC-265-Auto",,,4,5,61,338,642
"0f51f8db-b477-4c74-a884-f39be7091107","9X1SJQN5FV-398-Auto",,,9,1,47,856,108
"a567a9f6-73e0-45d7-b13f-6a98915899fe","A0JMZ13OF0-181-Auto",,,7,1,57,435,282
"ebb44158-ffde-4f43-95ab-e12de273b3df","ab-001",,,,,85,5,0
"b3a07a82-382b-4edf-885b-22a1f4f0b066","ab-002",,,,,85,10,0
"aed2e2ef-aeed-494c-bd3b-7cb64324c2a8","ab-003",,,,,,15,0
"402394a3-8d8c-4864-93dc-dda8d74d4ce6","ab-004",,,,,,55,0
"4814ec33-4002-4e62-a295-75b608424406","ab-005",,,,,,55,0
"27d4af6d-9024-4a59-9144-b49da74932ff","ab-006",,,,,,34,0
"c72511ab-726e-4507-a16a-df98e52208c6","ab-007",,,,,,55,0
"f224c56a-76e4-4e12-8bd9-355390b9f96c","ab-008",,,,,,15,0
"9fd507e4-d4b5-4b63-82c5-5d56b11c2923","ab-009",,,,,,5,0
"a24e99ab-b4c9-4705-b373-096a1f181046","ab-010",,,,,,5,0
"c0d0dbf1-784d-414e-9b0a-b1ed4fe21386","ab-011",,,,,,5,0
"06d898d0-b52f-4b20-9d2c-eb485315f7be","ab-012",,,,,,5,0
"180c38d3-036a-4dd7-bf3e-13e69042c7af","ab-013",,,,,,,0
"b10a9768-a952-48ab-a8f6-18b747a722ed","ACUDD8R9SX-322-Auto",,,6,2,3,245,890
"6eaa46be-e641-4d7a-b19c-bd16397d444c","ALKGU46930-90-Auto",,,7,8,92,932,701
"31ee7092-7dba-489e-adeb-40bced8d5018","BXM3IFJBKZ-260-Auto",,,4,4,87,965,578
"c0c2e834-49d4-49da-869c-b8b49ac28b48","CAT6Q8C554-412-Auto",,,3,1,8,728,623
"0954b4ce-3a72-4b3b-a5db-04bf779b2988","CG8IUXA8AU-150-Auto",,,5,9,46,961,118
"7921b0d7-e72b-4010-ba05-2366b163a987","CTWRPZ2BZ8-366-Auto",,,9,4,64,632,948
"e979e9af-253f-4aab-be0b-8b4cd0d87038","DB42BETFY9-322-Auto",,,8,2,93,234,116
"41a35609-8f27-4a8a-b68f-839bcc2b358c","DOX5QOOIC3-226-Auto",,,4,8,16,316,249
"2ed7bc79-33b6-4cec-976f-e2e153f54de9","DQ1F0YFRUR-96-Auto",,,9,6,46,451,582
"765725fb-abf4-483b-93f5-569a0710ce5e","ESGYVC4WJP-342-Auto",,,2,2,70,989,940
"746a4103-4b20-455e-8de7-7e7708531e75","FZN8UXY4HW-327-Auto",,,4,6,70,629,685
"10c4b94b-49b9-49ee-9b9c-7d9e2790c737","GFE8PCJ2M6-74-Auto",,,5,2,57,572,615
